gene_set,n_genes,direction,P_value,FDR_reported,FDR_validated_BH,BH_match,inter_gene_cor,trend_var
hsa00020_TCA,29,Down,0.000385539741162574,0.00115661922348772,0.001157,True,0.01,TRUE
hsa00010_Glycolysis,64,Down,0.0520898737970588,0.0781348106955882,0.078135,True,0.01,TRUE
hsa00030_PPP,30,Down,0.799886627307912,0.799886627307912,0.799887,True,0.01,TRUE
