gene_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulation
HK2,3.55394642857143,10.3827183544304,14.5955297929861,2.24977624555905e-37,1.48485232206897e-35,74.1156347856037,Up
ALDOB,-7.68061408730159,7.60305379746836,-12.5002666774834,1.71342986406075e-29,5.65431855140048e-28,56.0771094955864,Down
ADH4,-3.07977182539683,1.24915506329114,-11.3504317882978,2.4527882967429e-25,5.39613425283439e-24,46.5773525227323,Down
ADH1C,-3.9462875,3.4373835443038,-9.74727562809494,7.73986654304582e-20,1.27707797960256e-18,34.0278383652445,Down
ALDH3B1,1.88786458333333,11.458335443038,9.62937161248688,1.89111471298279e-19,2.49627142113728e-18,33.1436662338004,Up
PFKP,1.79298511904762,12.8516487341772,9.563517956234,3.10690595506782e-19,3.4175965505746e-18,32.6524036668659,Up
ALDH3B2,-3.63326676587301,1.39109683544304,-9.51337033628252,4.5287961332257e-19,4.27000778275566e-18,32.2795640845933,Down
PKM,1.83893353174603,16.0031329113924,9.37858154044873,1.24034937337233e-18,1.02328823303217e-17,31.2828984211644,Up
G6PC3,1.47676091269841,11.9462658227848,9.1654976696892,6.00102263662472e-18,4.4007499335248e-17,29.7239354669313,Up
ADH1B,-4.59645694444445,6.75432405063291,-8.63110025942181,2.85400876995844e-16,1.88364578817257e-15,25.9084227910588,Down
ALDOA,1.7605753968254,16.0363607594937,8.22848674615904,4.77536885249885e-15,2.86522131149931e-14,23.1285512159103,Up
PGAM2,-3.00005674603174,3.67416392405063,-7.92019350193729,3.90051200835648e-14,2.14528160459606e-13,21.0585955599998,Down
GAPDH,1.6674503968254,16.9889873417722,7.87410843995789,5.31559502184068e-14,2.69868670339604e-13,20.7537080659298,Up
ENO1,1.57759424603174,16.103164556962,7.79866992888874,8.800518473222e-14,4.1488158516618e-13,20.2572264402085,Up
GAPDHS,-0.980233779761907,0.352050949367089,-7.48094580354641,7.10260809593663e-13,3.12514756221212e-12,18.2023831054347,NS
ENO4,1.51864528769841,4.87593892405063,7.21432272783981,3.916046753703e-12,1.61536928590249e-11,16.5245584082622,Up
ENO2,1.56444196428571,11.0312848101266,6.29401291130065,1.0125716654533e-09,3.77759765691416e-09,11.0816732161235,Up
ALDH3A2,1.1960496031746,12.3085348101266,6.29099530396537,1.03025390643113e-09,3.77759765691416e-09,11.0647601703516,Up
GPI,1.1943253968254,14.1952848101266,6.27884968786377,1.10453315276887e-09,3.83679937277608e-09,10.9967506011175,Up
PGM1,1.12803224206349,11.7655443037975,6.21575784244976,1.58322102655981e-09,5.22462938764738e-09,10.6451218433331,Up
TPI1,1.15001984126984,14.6774050632911,6.15217856574351,2.26949536134958e-09,7.13269970709868e-09,10.2935992707383,Up
FBP2,-1.07982008928572,0.616195886075949,-5.97638055279453,6.05475223557812e-09,1.81642567067344e-08,9.3365498077565,Down
PCK1,-3.27097371031746,10.0597879746835,-5.95484887055186,6.89713386998512e-09,1.97917754530008e-08,9.21057643984919,Down
PGAM1,1.09631944444444,13.5016772151899,5.91274661909713,8.59153400661754e-09,2.36267185181982e-08,8.99558655877272,Up
DLD,1.09079216269841,12.296996835443,5.77993576666579,1.7672291854086e-08,4.66548504947869e-08,8.29343922289572,Up
PGK2,-0.587661061507939,0.179445886075949,-5.58638507510502,4.94357452649499e-08,1.25490737980257e-07,7.29344194338329,NS
ADH1A,-1.12476309523809,0.741970886075949,-5.54996961963403,5.98122320266645e-08,1.46207678287402e-07,7.10842238038439,Down
PDHA2,-0.292931597222224,0.0396993670886076,-5.522523155662,6.90053850325464e-08,1.62655550433859e-07,6.96963213109216,NS
ACSS2,1.14971726190476,12.2230221518987,5.2969249949871,2.18885837372949e-07,4.98153974710848e-07,5.85053050532562,Up
ALDH2,1.2931691468254,13.8403702531646,5.14128668087397,4.74864484068657e-07,1.04470186495105e-06,5.10132545321362,Up
BPGM,0.777874007936507,10.3402341772152,4.92454530486184,1.35458453744366e-06,2.88395417649294e-06,4.08967032361404,NS
PFKM,0.934819444444445,11.8544873417722,4.83613607354168,2.05608515911844e-06,4.24067564068178e-06,3.6877569238581,NS
PGK1,0.946190476190476,14.0294936708861,4.57466800150497,6.81870066760481e-06,1.36374013352096e-05,2.53615653359562,NS
LDHAL6B,-0.894171726190476,1.55146582278481,-4.49959235711471,9.52617942908362e-06,1.84919953623388e-05,2.2158545922322,NS
MINPP1,0.652718749999999,9.25563291139241,4.38977071597829,1.54123020111793e-05,2.90631980782237e-05,1.75574221496783,NS
PGAM4,0.932717559523808,1.81621455696203,4.2554221383184,2.7404669487638e-05,5.02418940606697e-05,1.20660755614938,NS
PDHA1,0.74797619047619,12.4545569620253,4.05367651894899,6.32950436443726e-05,0.000112904672446719,0.410724838862359,NS
ADH5,0.702499999999999,12.172753164557,4.04556870880187,6.54156500440927e-05,0.00011361665533974,0.379467000326227,NS
LDHA,0.891666666666666,14.3351582278481,4.02242063260913,7.18481135241677e-05,0.000121589115194745,0.290535896409653,NS
PFKL,-0.484756944444445,13.1556962025316,-3.99741574457111,7.94701866952851e-05,0.00013112580804722,0.19498967248926,NS
LDHC,-1.66477068452381,2.22984778481013,-3.98846907407736,8.23793083571942e-05,0.000132610593940849,0.160934508359658,Down
GCK,-1.16881964285715,2.66810379746835,-3.93987658596249,0.000100029593328086,0.000157189360944135,-0.0228229329919865,Down
ALDH3A1,1.32598804563492,6.20838829113924,3.8785881547191,0.000127430678722929,0.000195591274318914,-0.251673265689344,Up
PDHB,0.562114583333332,11.3173069620253,3.57549062340857,0.000403236701342276,0.000604855052013414,-1.33510847230008,NS
ADH6,-1.66936061507937,6.87616455696203,-3.54734655401119,0.000447033833597293,0.000655649622609362,-1.43159439372394,Down
DLAT,0.578904265873017,10.7884303797468,3.3889770650477,0.000788829103277674,0.00113179827861579,-1.96134579213726,NS
HKDC1,0.976378472222221,10.5431139240506,3.28077700666385,0.00114883328360922,0.00161325524932358,-2.31032353424206,NS
LDHB,0.693308531746031,14.8815189873418,3.21124720361795,0.00145520960233884,0.0020009132032159,-2.52898874408512,NS
AKR1A1,0.623065476190473,12.4125,3.16056094972095,0.00172447248723933,0.00232275886036318,-2.68562391724519,NS
GALM,0.589773313492064,10.9528006329114,2.94787915952217,0.00343374263840686,0.00447490256967191,-3.31725483513296,NS
ADH7,-0.525334871031746,0.32015664556962,-2.94565363167843,0.00345787925838284,0.00447490256967191,-3.32364445577227,NS
ALDH7A1,0.543360615079365,11.4036075949367,2.89987920695161,0.00399001650388349,0.0050642517164675,-3.45405071056836,NS
G6PC2,-0.58700486111111,0.889183227848101,-2.71055743853742,0.00707755976939778,0.00881356499585383,-3.97276327724409,NS
ALDH1B1,0.649300595238094,10.6566962025316,2.31756193937811,0.0211005891058686,0.0257896089071727,-4.94223654742316,NS
ALDOC,-0.882486111111112,7.63095886075949,-2.26202847826208,0.0243628669797366,0.029235440375684,-5.06743698378012,NS
FBP1,-0.659330853174606,10.3908765822785,-2.23106107993328,0.0263662847940328,0.0310745499358244,-5.13597576839185,NS
ENO3,-0.584551091269841,8.10220886075949,-2.09363965297686,0.0370749861711501,0.0429289313560686,-5.42905587067253,NS
ALDH9A1,0.36776488095238,11.6608924050633,2.04472414020207,0.0416959538299565,0.0474471198754678,-5.52900589912117,NS
ACSS1,-0.44189136904762,11.2654778481013,-1.97736055948018,0.0488545863521725,0.054650893207515,-5.66288117582072,NS
LDHAL6A,-0.59804290674604,1.66155537974684,-1.91884849372948,0.0558885204502571,0.0614773724952828,-5.77561269210077,NS
PKLR,-1.12801264880953,6.77083069620253,-1.89674868545986,0.0587570515500983,0.0635732033164998,-5.81733013370909,NS
ADPGK,0.138183035714284,10.5649746835443,0.919952366138393,0.358287242472038,0.381402548437976,-7.18448040784273,NS
PCK2,-0.170576884920635,10.6781803797468,-0.72227195552589,0.470652211659829,0.493064221738869,-7.34656355625718,NS
HK3,-0.208545634920638,6.82432594936709,-0.675147234040844,0.500067392294963,0.515694498304181,-7.37946243244944,NS
PGM2,0.0934126984126977,9.28752848101266,0.552652833746943,0.580885106963891,0.589821800917181,-7.45462396843628,NS
HK1,0.0565486111111094,11.2815379746835,0.252880269061743,0.800522316032871,0.800522316032871,-7.57537534252911,NS
