gene_id,mean_logFC,n_sig,robustness_class,logFC_paired,FDR_paired,logFC_gtx,FDR_gtx,logFC_tcga,FDR_tcga,in_hsa00010,in_hsa00030,in_hsa00020
PKLR,-2.17350321497785,2,PARTIALLY_ROBUST,-3.372759375,5.3477708522031e-05,-1.12801264880953,0.0635732033164998,-2.01973762112402,1.17908766577587e-09,TRUE,FALSE,FALSE
FBP1,-1.94298127384028,2,PARTIALLY_ROBUST,-3.06975,4.27304333718166e-09,-0.659330853174606,0.0310745499358244,-2.09986296834624,1.36380003865759e-39,TRUE,TRUE,FALSE
ALDOC,-1.16865595391903,2,PARTIALLY_ROBUST,-1.0786875,0.0108455875461817,-0.882486111111112,0.029235440375684,-1.54479425064599,2.61658010971128e-15,TRUE,TRUE,FALSE
PCK2,-1.09805668989172,2,PARTIALLY_ROBUST,-1.69303125,3.10643865516909e-05,-0.170576884920635,0.493064221738869,-1.43056193475451,3.75290089464828e-22,TRUE,FALSE,TRUE
ALDH3A1,1.0474065745355,2,PARTIALLY_ROBUST,0.58225,0.198802674279098,1.32598804563492,0.000195591274318914,1.23398167797157,1.10370507961799e-13,TRUE,FALSE,FALSE
LDHAL6A,-1.0283155323305,2,PARTIALLY_ROBUST,-1.2523625,2.71953240341789e-05,-0.59804290674604,0.0614773724952828,-1.23454119024547,1.35177495517566e-14,TRUE,FALSE,FALSE
ALDOB,-8.11142115786882,3,ROBUST,-8.656375,1.26005165042003e-13,-7.68061408730159,5.65431855140048e-28,-7.99727438630487,2.45719639929906e-76,TRUE,TRUE,FALSE
ADH1C,-5.49645829295864,3,ROBUST,-6.005784375,1.02505497771985e-15,-3.9462875,1.27707797960256e-18,-6.53730300387593,7.94974336730142e-119,TRUE,FALSE,FALSE
ADH1B,-5.05092268518518,3,ROBUST,-4.9436875,2.58758161862895e-11,-4.59645694444445,1.88364578817257e-15,-5.61262361111108,5.25312900242532e-74,TRUE,FALSE,FALSE
ALDH3B2,-4.52944051810323,3,ROBUST,-5.186340625,4.14602858027606e-22,-3.63326676587301,4.27000778275566e-18,-4.76871416343667,5.55442397967321e-86,TRUE,FALSE,FALSE
PGAM2,-4.22215185569705,3,ROBUST,-5.17100625,1.26005165042003e-13,-3.00005674603174,2.14528160459606e-13,-4.49539257105941,3.15722695912997e-78,TRUE,FALSE,FALSE
PCK1,-4.18064929017472,3,ROBUST,-5.11184375,6.23861887878482e-10,-3.27097371031746,1.97917754530008e-08,-4.15913041020669,1.06857861345081e-40,TRUE,FALSE,TRUE
HK2,3.30451024363233,3,ROBUST,3.33875,1.29900087497159e-12,3.55394642857143,1.48485232206897e-35,3.02083430232556,1.40750503477625e-88,TRUE,FALSE,FALSE
ADH4,-2.97208777147163,3,ROBUST,-2.91754375,6.23578029136731e-12,-3.07977182539683,5.39613425283439e-24,-2.91894773901807,2.0978996100496e-69,TRUE,FALSE,FALSE
LDHC,-2.37826813515134,3,ROBUST,-3.059153125,2.52476186569288e-12,-1.66477068452381,0.000132610593940849,-2.41088059593022,1.7682791807547e-27,TRUE,FALSE,FALSE
ADH6,-2.24831814860957,3,ROBUST,-2.76640625,9.71475497841331e-05,-1.66936061507937,0.000655649622609362,-2.30918758074934,2.06859822040908e-16,TRUE,FALSE,FALSE
ENO2,1.94801755721668,3,ROBUST,2.275875,7.42308918716814e-07,1.56444196428571,3.77759765691416e-09,2.00373570736433,5.97258889964699e-49,TRUE,FALSE,FALSE
ADH1A,-1.60157355920081,3,ROBUST,-1.805903125,1.52111043609961e-09,-1.12476309523809,1.46207678287402e-07,-1.87405445736433,5.43527192161655e-48,TRUE,FALSE,FALSE
ALDH3B1,1.56804780361757,3,ROBUST,1.0436875,0.00212868229808245,1.88786458333333,2.49627142113728e-18,1.77259132751937,3.92502782469113e-40,TRUE,FALSE,FALSE
FBP2,-1.39678058208749,3,ROBUST,-1.567709375,1.14100988172368e-08,-1.07982008928572,1.81642567067344e-08,-1.54281228197674,1.65920864433692e-42,TRUE,TRUE,FALSE
ALDOA,1.3041353282269,3,ROBUST,1.1215625,6.09544739269099e-07,1.7605753968254,2.86522131149931e-14,1.03026808785529,3.53984327098496e-40,TRUE,TRUE,FALSE
GAPDH,1.30279246646979,3,ROBUST,1.100625,2.8308338306895e-11,1.6674503968254,2.69868670339604e-13,1.14030200258397,1.83289523909172e-61,TRUE,FALSE,FALSE
GCK,-1.17671423495755,3,ROBUST,-1.0499125,0.00362819633968411,-1.16881964285715,0.000157189360944135,-1.31141056201549,3.03501630585885e-17,TRUE,FALSE,FALSE
