gene_id,logFC_paired,FDR_paired,reg_paired,logFC_gtx,FDR_gtx,reg_gtx,logFC_tcga,FDR_tcga,reg_tcga,sig_paired,sig_gtx,sig_tcga,n_sig,dir_paired,dir_gtx,dir_tcga,dir_agree,robustness_class
BPGM,-0.2055,0.128339130290135,NS,0.777874007936507,2.88395417649294e-06,NS,-0.175561208010336,0.0017550781266037,NS,FALSE,FALSE,FALSE,0,-1,1,-1,FALSE,INCONCLUSIVE
DLAT,-0.398468750000001,0.00948177885948784,NS,0.578904265873017,0.00113179827861579,NS,-0.666940972222218,2.12547308287768e-25,NS,FALSE,FALSE,FALSE,0,-1,1,-1,FALSE,INCONCLUSIVE
DLD,-0.0621562500000005,0.689117539824407,NS,1.09079216269841,4.66548504947869e-08,Up,-0.209916585917311,0.0017550781266037,NS,FALSE,TRUE,FALSE,1,-1,1,-1,FALSE,DIRECTION_DISCORDANT
ENO1,0.3396875,0.0367261403864883,NS,1.57759424603174,4.1488158516618e-13,Up,0.284114179586562,4.15845226506893e-06,NS,FALSE,TRUE,FALSE,1,1,1,1,TRUE,SENSITIVE_TO_COMPARATOR
ENO2,2.275875,7.42308918716814e-07,Up,1.56444196428571,3.77759765691416e-09,Up,2.00373570736433,5.97258889964699e-49,Up,TRUE,TRUE,TRUE,3,1,1,1,TRUE,ROBUST
ENO3,0.0999062500000003,0.719079694785545,NS,-0.584551091269841,0.0429289313560686,NS,0.78779303940568,1.70699438500619e-09,NS,FALSE,FALSE,FALSE,0,1,-1,1,FALSE,INCONCLUSIVE
ENO4,-0.305384375,0.22983810446754,NS,1.51864528769841,1.61536928590249e-11,Up,-0.0987843911498701,0.29646609591122,NS,FALSE,TRUE,FALSE,1,-1,1,-1,FALSE,DIRECTION_DISCORDANT
FBP1,-3.06975,4.27304333718166e-09,Down,-0.659330853174606,0.0310745499358244,NS,-2.09986296834624,1.36380003865759e-39,Down,TRUE,FALSE,TRUE,2,-1,-1,-1,TRUE,PARTIALLY_ROBUST
FBP2,-1.567709375,1.14100988172368e-08,Down,-1.07982008928572,1.81642567067344e-08,Down,-1.54281228197674,1.65920864433692e-42,Down,TRUE,TRUE,TRUE,3,-1,-1,-1,TRUE,ROBUST
G6PC2,-0.21711875,0.146513108336402,NS,-0.58700486111111,0.00881356499585383,NS,-0.547084124677,1.83986457889643e-06,NS,FALSE,FALSE,FALSE,0,-1,-1,-1,TRUE,INCONCLUSIVE
G6PC3,0.575,4.83637393850637e-06,NS,1.47676091269841,4.4007499335248e-17,Up,0.673319605943148,7.94171373868273e-34,NS,FALSE,TRUE,FALSE,1,1,1,1,TRUE,SENSITIVE_TO_COMPARATOR
GALM,-1.0770625,1.34982952155726e-06,Down,0.589773313492064,0.00447490256967191,NS,-0.811382832687334,2.59705810753956e-19,NS,TRUE,FALSE,FALSE,1,-1,1,-1,FALSE,DIRECTION_DISCORDANT
GAPDH,1.100625,2.8308338306895e-11,Up,1.6674503968254,2.69868670339604e-13,Up,1.14030200258397,1.83289523909172e-61,Up,TRUE,TRUE,TRUE,3,1,1,1,TRUE,ROBUST
GAPDHS,0.2483125,0.113300237857832,NS,-0.980233779761907,3.12514756221212e-12,NS,0.0834358769379846,0.161918439146239,NS,FALSE,FALSE,FALSE,0,1,-1,1,FALSE,INCONCLUSIVE
GCK,-1.0499125,0.00362819633968411,Down,-1.16881964285715,0.000157189360944135,Down,-1.31141056201549,3.03501630585885e-17,Down,TRUE,TRUE,TRUE,3,-1,-1,-1,TRUE,ROBUST
GPI,0.4946875,0.000434563962448757,NS,1.1943253968254,3.83679937277608e-09,Up,0.423204134366922,5.85641597335623e-12,NS,FALSE,TRUE,FALSE,1,1,1,1,TRUE,SENSITIVE_TO_COMPARATOR
HK1,-0.509125000000001,0.0367108480258652,NS,0.0565486111111094,0.800522316032871,NS,-0.844846737726093,1.63342906465645e-17,NS,FALSE,FALSE,FALSE,0,-1,1,-1,FALSE,INCONCLUSIVE
HK2,3.33875,1.29900087497159e-12,Up,3.55394642857143,1.48485232206897e-35,Up,3.02083430232556,1.40750503477625e-88,Up,TRUE,TRUE,TRUE,3,1,1,1,TRUE,ROBUST
HK3,2.25940625,3.12445897834914e-07,Up,-0.208545634920638,0.515694498304181,NS,1.9292038113695,7.22381023251175e-33,Up,TRUE,FALSE,TRUE,2,1,-1,1,FALSE,DIRECTION_DISCORDANT
HKDC1,1.16521875,1.2700981042556e-06,Up,0.976378472222221,0.00161325524932358,NS,0.852109092377256,8.24386738400937e-10,NS,TRUE,FALSE,FALSE,1,1,1,1,TRUE,SENSITIVE_TO_COMPARATOR
LDHA,0.630937499999999,0.00320328054000666,NS,0.891666666666666,0.000121589115194745,NS,0.243158914728681,0.00343260884436692,NS,FALSE,FALSE,FALSE,0,1,1,1,TRUE,INCONCLUSIVE
LDHAL6A,-1.2523625,2.71953240341789e-05,Down,-0.59804290674604,0.0614773724952828,NS,-1.23454119024547,1.35177495517566e-14,Down,TRUE,FALSE,TRUE,2,-1,-1,-1,TRUE,PARTIALLY_ROBUST
LDHAL6B,-0.241293750000001,0.397866168795078,NS,-0.894171726190476,1.84919953623388e-05,NS,-0.277012645348836,0.00531734357578554,NS,FALSE,FALSE,FALSE,0,-1,-1,-1,TRUE,INCONCLUSIVE
