ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-71384,Ethanol oxidation,5/12,11/65,0.454545454545455,2.46212121212121,2.51203401428628,0.0235487243096607,0.263096256732539,0.263096256732539,ADH6/ADH1C/ADH4/ADH1A/ADH1B,5
R-HSA-211945,Phase I - Functionalization of compounds,5/12,12/65,0.416666666666667,2.25694444444444,2.27672955974843,0.0361777237600943,0.263096256732539,0.263096256732539,ADH6/ADH1C/ADH4/ADH1A/ADH1B,5
R-HSA-211859,Biological oxidations,5/12,13/65,0.384615384615385,2.08333333333333,2.06193412286718,0.0526192513465078,0.263096256732539,0.263096256732539,ADH6/ADH1C/ADH4/ADH1A/ADH1B,5
R-HSA-162582,Signal Transduction,4/12,11/65,0.363636363636364,1.96969696969697,1.66601219600334,0.108794470600087,0.407979264750327,0.407979264750327,PCK1/ADH1C/ADH4/ADH1A,4
R-HSA-70263,Gluconeogenesis,4/12,21/65,0.19047619047619,1.03174603174603,0.0834863416022057,0.591319326074489,1,1,PCK1/ALDOB/PGAM2/FBP2,4
R-HSA-1643685,Disease,2/12,10/65,0.2,1.08333333333333,0.135263332945649,0.59400636994004,1,1,ALDOB/GCK,2
R-HSA-70326,Glucose metabolism,5/12,33/65,0.151515151515152,0.820707070707071,-0.69308710497795,0.845576361019247,1,1,PCK1/ALDOB/PGAM2/FBP2/GCK,5
R-HSA-71387,Metabolism of carbohydrates and carbohydrate derivatives,5/12,37/65,0.135135135135135,0.731981981981982,-1.17281230222206,0.933336891989346,1,1,PCK1/ALDOB/PGAM2/FBP2/GCK,5
R-HSA-1428517,Aerobic respiration and respiratory electron transport,1/12,12/65,0.0833333333333333,0.451388888888889,-0.993710691823899,0.933764724852007,1,1,LDHC,1
R-HSA-70268,Pyruvate metabolism,1/12,12/65,0.0833333333333333,0.451388888888889,-0.993710691823899,0.933764724852007,1,1,LDHC,1
R-HSA-70171,Glycolysis,3/12,27/65,0.111111111111111,0.601851851851852,-1.27754868442188,0.950065494383361,1,1,ALDOB/PGAM2/GCK,3
R-HSA-168249,Innate Immune System,0/12,10/65,0,0,-1.62315999534779,1,1,1,"",0
R-HSA-168256,Immune System,0/12,10/65,0,0,-1.62315999534779,1,1,1,"",0
R-HSA-6798695,Neutrophil degranulation,0/12,10/65,0,0,-1.62315999534779,1,1,1,"",0
R-HSA-1430728,Metabolism,12/12,65/65,0.184615384615385,1,,1,1,1,ADH6/ALDH3B2/PCK1/ADH1C/ALDOB/ADH4/LDHC/PGAM2/ADH1A/ADH1B/FBP2/GCK,12
