ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
R-HSA-71291,Metabolism of amino acids and derivatives,3,0.476190476190476,0.857291128140185,0.702752293577982,0.855156405438267,0.468919918821051,36,"tags=100%, list=55%, signal=48%",1738/501/223,0.0579754757571486
R-HSA-9679506,SARS-CoV Infections,1,-0.630769230769231,-0.835009467704609,0.754639175257732,0.866119962511715,0.474931720007568,26,"tags=100%, list=39%, signal=62%",5313,0.0601186142531851
R-HSA-9678108,SARS-CoV-1 Infection,1,-0.630769230769231,-0.835009467704609,0.754639175257732,0.866119962511715,0.474931720007568,26,"tags=100%, list=39%, signal=62%",5313,0.0601186142531851
R-HSA-163685,Integration of energy metabolism,1,-0.630769230769231,-0.835009467704609,0.754639175257732,0.866119962511715,0.474931720007568,26,"tags=100%, list=39%, signal=62%",5313,0.0601186142531851
R-HSA-9692914,SARS-CoV-1-host interactions,1,-0.630769230769231,-0.835009467704609,0.754639175257732,0.866119962511715,0.474931720007568,26,"tags=100%, list=39%, signal=62%",5313,0.0601186142531851
R-HSA-3781865,Diseases of glycosylation,2,0.515625,0.802149316374064,0.807766990291262,0.8877916440586,0.486815257436576,33,"tags=100%, list=50%, signal=52%",5236/130589,0.0541200569620232
R-HSA-5609975,Diseases associated with glycosylation precursor biosynthesis,2,0.515625,0.802149316374064,0.807766990291262,0.8877916440586,0.486815257436576,33,"tags=100%, list=50%, signal=52%",5236/130589,0.0541200569620232
R-HSA-5668914,Diseases of metabolism,5,0.364912414816849,0.785333546255302,0.731497418244406,0.866119962511715,0.474931720007568,16,"tags=60%, list=24%, signal=49%",92579/5236/1738,0.0531298054705469
R-HSA-71064,Lysine catabolism,2,0.5,0.777841761332426,0.831067961165049,0.8877916440586,0.486815257436576,34,"tags=100%, list=52%, signal=50%",1738/501,0.052805004567129
R-HSA-446203,Asparagine N-linked glycosylation,1,-0.584615384615385,-0.773911213970125,0.835051546391753,0.8877916440586,0.486815257436576,29,"tags=100%, list=44%, signal=57%",3098,0.0553642837725362
R-HSA-446193,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",1,-0.584615384615385,-0.773911213970125,0.835051546391753,0.8877916440586,0.486815257436576,29,"tags=100%, list=44%, signal=57%",3098,0.0553642837725362
R-HSA-446219,Synthesis of substrates in N-glycan biosythesis,1,-0.584615384615385,-0.773911213970125,0.835051546391753,0.8877916440586,0.486815257436576,29,"tags=100%, list=44%, signal=57%",3098,0.0553642837725362
R-HSA-9857492,Protein lipoylation,1,0.569230769230769,0.765363800360794,0.858800773694391,0.897396110107344,0.492081809158875,29,"tags=100%, list=44%, signal=57%",1737,0.0511147954416412
R-HSA-71336,Pentose phosphate pathway,1,-0.569230769230769,-0.753545129391964,0.861855670103093,0.897396110107344,0.492081809158875,30,"tags=100%, list=45%, signal=55%",55276,0.0538979025357319
R-HSA-204174,Regulation of pyruvate dehydrogenase (PDH) complex,5,0.342745764201087,0.737628361038691,0.800344234079174,0.8877916440586,0.486815257436576,29,"tags=80%, list=44%, signal=49%",1738/5160/5162/1737,0.0489954089862482
R-HSA-156580,Phase II - Conjugation of compounds,1,0.523076923076923,0.703307276007216,0.970986460348163,0.970986460348163,0.532434639169255,32,"tags=100%, list=48%, signal=52%",10327,0.0454967810085007
R-HSA-156590,Glutathione conjugation,1,0.523076923076923,0.703307276007216,0.970986460348163,0.970986460348163,0.532434639169255,32,"tags=100%, list=48%, signal=52%",10327,0.0454967810085007
R-HSA-1428517,Aerobic respiration and respiratory electron transport,12,0.20763606798388,0.594677646243077,0.954305799648506,0.970986460348163,0.532434639169255,31,"tags=58%, list=47%, signal=38%",5315/1738/5160/3939/5162/1737/3945,0.0419081748591401
R-HSA-70268,Pyruvate metabolism,12,0.20763606798388,0.594677646243077,0.954305799648506,0.970986460348163,0.532434639169255,31,"tags=58%, list=47%, signal=38%",5315/1738/5160/3939/5162/1737/3945,0.0419081748591401
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
