ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
hsa04922,Glucagon signaling pathway,22,0.216360297759173,0.734918590070886,0.814940577249576,0.904746871771324,0.543762092623419,5,"tags=14%, list=8%, signal=19%",5214/5315/92579,0.0475434194201301
hsa00785,Lipoic acid metabolism,5,0.342745764201087,0.728968024782212,0.809174311926606,0.904746871771324,0.543762092623419,29,"tags=80%, list=44%, signal=49%",1738/5160/5162/1737,0.0514264916187015
hsa01210,2-Oxocarboxylic acid metabolism,5,0.342745764201087,0.728968024782212,0.809174311926606,0.904746871771324,0.543762092623419,29,"tags=80%, list=44%, signal=49%",1738/5160/5162/1737,0.0514264916187015
hsa00040,Pentose and glucuronate interconversions,1,0.523076923076923,0.699978554578598,0.972972972972973,0.972972972972973,0.584766674919806,32,"tags=100%, list=48%, signal=52%",10327,0.048701086452153
hsa05208,Chemical carcinogenesis - reactive oxygen species,1,0.523076923076923,0.699978554578598,0.972972972972973,0.972972972972973,0.584766674919806,32,"tags=100%, list=48%, signal=52%",10327,0.048701086452153
hsa00640,Propanoate metabolism,8,-0.258620689655172,-0.689657592234266,0.857466063348416,0.904746871771324,0.543762092623419,52,"tags=100%, list=79%, signal=24%",1738/55902/3939/3945/160287/84532/3948/92483,0.0584693210386381
hsa00340,Histidine metabolism,8,0.271947913136078,0.678778685678535,0.846428571428571,0.904746871771324,0.543762092623419,36,"tags=88%, list=55%, signal=45%",221/224/217/218/501/219/223,0.0481183992657975
hsa00410,beta-Alanine metabolism,8,0.271947913136078,0.678778685678535,0.846428571428571,0.904746871771324,0.543762092623419,36,"tags=88%, list=55%, signal=45%",221/224/217/218/501/219/223,0.0481183992657975
hsa05415,Diabetic cardiomyopathy,4,0.334119585274048,0.67562807883102,0.862989323843416,0.904746871771324,0.543762092623419,28,"tags=75%, list=42%, signal=46%",2597/5160/5162,0.0470699590082662
hsa00020,Citrate cycle (TCA cycle),7,-0.254237288135593,-0.66093648966577,0.911111111111111,0.940035273368607,0.564970781701621,52,"tags=100%, list=79%, signal=24%",1738/5160/5162/1737/5106/5161/5105,0.0547939500773363
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
