UMAP1,UMAP2,condition,study,sample
0.20936171797483,0.57408525472364,KIRP,TCGA,TCGA-IA-A83V-01
1.62943922282568,0.102379950717253,KIRP,TCGA,TCGA-IA-A83T-01
0.587397941952622,2.67153842478626,KIRP,TCGA,TCGA-UZ-A9PQ-01
1.5772998731172,1.52647887149889,KIRP,TCGA,TCGA-IA-A83S-01
0.103440154395818,-0.823711970418215,KIRP,TCGA,TCGA-AL-3468-01
-0.382247762695414,-0.277558125415104,KIRP,TCGA,TCGA-IA-A83W-01
-0.855399605381359,0.0447371400724692,KIRP,TCGA,TCGA-2Z-A9J3-01
1.71086314002663,2.33353197913661,KIRP,TCGA,TCGA-DZ-6133-01
0.370365196406145,-1.04544252162246,KIRP,TCGA,TCGA-B9-4113-01
1.499519536515,-0.996984195476365,KIRP,TCGA,TCGA-5P-A9JY-01
0.181574833899043,-2.19022977895557,KIRP,TCGA,TCGA-AL-3471-01
-1.52188145062434,-0.36753794309453,KIRP,TCGA,TCGA-AL-A5DJ-01
-1.57791721321768,0.444437559790324,KIRP,TCGA,TCGA-BQ-7045-01
-1.67377096203708,-0.262883633533149,KIRP,TCGA,TCGA-BQ-7049-01
1.76655271075953,1.51420353737913,KIRP,TCGA,TCGA-BQ-5880-01
-2.69322694259173,0.298066509949137,KIRP,TCGA,TCGA-P4-A5E8-01
0.189716878167892,-0.0109270834696715,KIRP,TCGA,TCGA-UZ-A9PN-01
1.6218669469284,2.02953415343984,KIRP,TCGA,TCGA-A4-7585-01
0.588129512768375,-0.447534235235247,KIRP,TCGA,TCGA-UZ-A9PU-01
-0.476119477627651,-1.0829496823745,KIRP,TCGA,TCGA-UZ-A9PJ-01
-2.44257593761177,0.162356405374222,KIRP,TCGA,TCGA-BQ-5879-01
1.23104597084504,2.47860206014086,KIRP,TCGA,TCGA-BQ-5882-01
0.551485618502474,1.6664903225024,KIRP,TCGA,TCGA-G7-7501-01
-2.60513473029073,-2.36234729067024,KIRP,TCGA,TCGA-A4-7287-01
2.20947747705359,1.09758447596631,KIRP,TCGA,TCGA-5P-A9K9-01
-0.651853318548856,-0.929052948463823,KIRP,TCGA,TCGA-G7-A8LD-01
1.20133700612832,1.55747478052594,KIRP,TCGA,TCGA-SX-A7SP-01
-0.676720274663756,0.49271347257377,KIRP,TCGA,TCGA-2Z-A9JS-01
-0.953800382139459,-0.289968953181024,KIRP,TCGA,TCGA-P4-AAVL-01
2.72135164773437,1.95894123985558,KIRP,TCGA,TCGA-5P-A9K3-01
1.28768850266846,0.0921750209233343,KIRP,TCGA,TCGA-A4-A5Y1-01
2.46599693873275,2.19052624076877,KIRP,TCGA,TCGA-SX-A7SM-01
2.75700627796134,2.08334485956519,KIRP,TCGA,TCGA-BQ-7058-01
-2.43683135614338,0.110341969377612,KIRP,TCGA,TCGA-G7-6793-01
-2.95333412123658,-2.71590572588856,KIRP,TCGA,TCGA-BQ-5889-01
-2.47206301815867,0.0748379050066561,KIRP,TCGA,TCGA-F9-A4JJ-01
0.65302530283759,1.10059821846194,KIRP,TCGA,TCGA-J7-8537-01
-0.0712401096080206,-0.141347626351934,KIRP,TCGA,TCGA-AL-3466-01
-0.141995973389401,-0.0622299924058969,KIRP,TCGA,TCGA-BQ-5877-01
-0.11414426186474,1.27940178544893,KIRP,TCGA,TCGA-A4-A57E-01
-2.35689380926546,-0.0319588779527138,KIRP,TCGA,TCGA-BQ-5893-01
-1.91058442652258,-2.26734535619692,KIRP,TCGA,TCGA-P4-A5EA-01
-0.572789677029289,0.28446993792759,KIRP,TCGA,TCGA-2Z-A9J7-01
-2.1387880402793,0.195616823616685,KIRP,TCGA,TCGA-G7-6789-01
2.32863810545704,1.05014436090397,KIRP,TCGA,TCGA-GL-6846-01
0.149575589741597,-1.05821556938652,KIRP,TCGA,TCGA-DW-7834-01
0.921567195607218,0.980537126993305,KIRP,TCGA,TCGA-UZ-A9PM-01
0.652631220921654,2.96372108838988,KIRP,TCGA,TCGA-BQ-7044-01
0.233500816564312,-0.45309478835466,KIRP,TCGA,TCGA-UZ-A9PK-01
1.43788700268449,-1.32065254803402,KIRP,TCGA,TCGA-UZ-A9Q0-01
1.07470148715074,1.6966695415268,KIRP,TCGA,TCGA-5P-A9JW-01
0.679703977383706,-1.21019057096822,KIRP,TCGA,TCGA-UZ-A9PL-01
