database,direction,threshold,pathway_id,pathway_name,FDR,significant,gene_count,genes
KEGG,Up,LFC0,hsa03040,Spliceosome,1,FALSE,0,""
KEGG,Up,LFC0,hsa03050,Proteasome,1,FALSE,0,""
KEGG,Up,LFC0,hsa03060,Protein export,1,FALSE,0,""
KEGG,Up,LFC0,hsa03082,ATP-dependent chromatin remodeling,1,FALSE,0,""
KEGG,Up,LFC0,hsa03083,Polycomb repressive complex,1,FALSE,0,""
KEGG,Up,LFC0,hsa03250,Viral life cycle - HIV-1,1,FALSE,0,""
KEGG,Up,LFC0,hsa03265,"Virion - Ebolavirus, Lyssavirus and Morbillivirus",1,FALSE,0,""
KEGG,Up,LFC0,hsa03272,Virion - Hepatitis viruses,1,FALSE,0,""
KEGG,Up,LFC0,hsa03273,Virion - Lassa virus and SFTS virus,1,FALSE,0,""
KEGG,Up,LFC0,hsa03320,PPAR signaling pathway,1,FALSE,0,""
KEGG,Up,LFC0,hsa03410,Base excision repair,1,FALSE,0,""
KEGG,Up,LFC0,hsa03420,Nucleotide excision repair,1,FALSE,0,""
KEGG,Up,LFC0,hsa03430,Mismatch repair,1,FALSE,0,""
KEGG,Up,LFC0,hsa03440,Homologous recombination,1,FALSE,0,""
KEGG,Up,LFC0,hsa03450,Non-homologous end-joining,1,FALSE,0,""
KEGG,Up,LFC0,hsa03460,Fanconi anemia pathway,1,FALSE,0,""
KEGG,Up,LFC0,hsa04010,MAPK signaling pathway,1,FALSE,0,""
KEGG,Up,LFC0,hsa04012,ErbB signaling pathway,1,FALSE,0,""
KEGG,Up,LFC0,hsa04014,Ras signaling pathway,1,FALSE,0,""
KEGG,Up,LFC0,hsa04015,Rap1 signaling pathway,1,FALSE,0,""
KEGG,Up,LFC0,hsa04020,Calcium signaling pathway,1,FALSE,0,""
KEGG,Up,LFC0,hsa04022,cGMP-PKG signaling pathway,1,FALSE,0,""
KEGG,Up,LFC0,hsa04024,cAMP signaling pathway,1,FALSE,0,""
KEGG,Up,LFC0,hsa04060,Cytokine-cytokine receptor interaction,1,FALSE,0,""
KEGG,Up,LFC0,hsa04061,Viral protein interaction with cytokine and cytokine receptor,1,FALSE,0,""
KEGG,Up,LFC0,hsa04062,Chemokine signaling pathway,1,FALSE,0,""
KEGG,Up,LFC0,hsa04064,NF-kappa B signaling pathway,1,FALSE,0,""
KEGG,Up,LFC0,hsa04070,Phosphatidylinositol signaling system,1,FALSE,0,""
KEGG,Up,LFC0,hsa04071,Sphingolipid signaling pathway,1,FALSE,0,""
KEGG,Up,LFC0,hsa04072,Phospholipase D signaling pathway,1,FALSE,0,""
KEGG,Up,LFC0,hsa04080,Neuroactive ligand-receptor interaction,1,FALSE,0,""
KEGG,Up,LFC0,hsa04081,Hormone signaling,1,FALSE,0,""
KEGG,Up,LFC0,hsa04082,Neuroactive ligand signaling,1,FALSE,0,""
KEGG,Up,LFC0,hsa04110,Cell cycle,1,FALSE,0,""
KEGG,Up,LFC0,hsa04114,Oocyte meiosis,1,FALSE,0,""
KEGG,Up,LFC0,hsa04115,p53 signaling pathway,1,FALSE,0,""
KEGG,Up,LFC0,hsa04120,Ubiquitin mediated proteolysis,1,FALSE,0,""
KEGG,Up,LFC0,hsa04130,SNARE interactions in vesicular transport,1,FALSE,0,""
KEGG,Up,LFC0,hsa04136,Autophagy - other,1,FALSE,0,""
KEGG,Up,LFC0,hsa04137,Mitophagy - animal,1,FALSE,0,""
KEGG,Up,LFC0,hsa04140,Autophagy - animal,1,FALSE,0,""
KEGG,Up,LFC0,hsa04141,Protein processing in endoplasmic reticulum,1,FALSE,0,""
KEGG,Up,LFC0,hsa04142,Lysosome biogenesis,1,FALSE,0,""
KEGG,Up,LFC0,hsa04144,Endocytosis,1,FALSE,0,""
KEGG,Up,LFC0,hsa04145,Phagocytosis,1,FALSE,0,""
KEGG,Up,LFC0,hsa04146,Peroxisome,1,FALSE,0,""
KEGG,Up,LFC0,hsa04148,Efferocytosis,1,FALSE,0,""
KEGG,Up,LFC0,hsa04150,mTOR signaling pathway,1,FALSE,0,""
KEGG,Up,LFC0,hsa04156,Integrated stress response (ISR) signaling pathway,1,FALSE,0,""
KEGG,Up,LFC0,hsa04210,Apoptosis,1,FALSE,0,""
KEGG,Up,LFC0,hsa04211,Longevity regulating pathway,1,FALSE,0,""
KEGG,Up,LFC0,hsa04213,Longevity regulating pathway - multiple species,1,FALSE,0,""
KEGG,Up,LFC0,hsa04215,Apoptosis - multiple species,1,FALSE,0,""
KEGG,Up,LFC0,hsa04216,Ferroptosis,1,FALSE,0,""
KEGG,Up,LFC0,hsa04217,Necroptosis,1,FALSE,0,""
KEGG,Up,LFC0,hsa04218,Cellular senescence,1,FALSE,0,""
KEGG,Up,LFC0,hsa04260,Cardiac muscle contraction,1,FALSE,0,""
KEGG,Up,LFC0,hsa04261,Adrenergic signaling in cardiomyocytes,1,FALSE,0,""
KEGG,Up,LFC0,hsa04270,Vascular smooth muscle contraction,1,FALSE,0,""
KEGG,Up,LFC0,hsa04310,Wnt signaling pathway,1,FALSE,0,""
KEGG,Up,LFC0,hsa04330,Notch signaling pathway,1,FALSE,0,""
KEGG,Up,LFC0,hsa04340,Hedgehog signaling pathway,1,FALSE,0,""
KEGG,Up,LFC0,hsa04350,TGF-beta signaling pathway,1,FALSE,0,""
KEGG,Up,LFC0,hsa04360,Axon guidance,1,FALSE,0,""
KEGG,Up,LFC0,hsa04370,VEGF signaling pathway,1,FALSE,0,""
KEGG,Up,LFC0,hsa04371,Apelin signaling pathway,1,FALSE,0,""
KEGG,Up,LFC0,hsa04380,Osteoclast differentiation,1,FALSE,0,""
KEGG,Up,LFC0,hsa04382,Cornified envelope formation,1,FALSE,0,""
KEGG,Up,LFC0,hsa04390,Hippo signaling pathway,1,FALSE,0,""
KEGG,Up,LFC0,hsa04392,Hippo signaling pathway - multiple species,1,FALSE,0,""
KEGG,Up,LFC0,hsa04510,Focal adhesion,1,FALSE,0,""
KEGG,Up,LFC0,hsa04512,ECM-receptor interaction,1,FALSE,0,""
KEGG,Up,LFC0,hsa04514,Cell adhesion molecule (CAM) interaction,1,FALSE,0,""
