database,direction,threshold,pathway_id,pathway_name,FDR,significant,gene_count,genes
KEGG,Up,LFC0,hsa05145,Toxoplasmosis,1,FALSE,0,""
KEGG,Up,LFC0,hsa05146,Amoebiasis,1,FALSE,0,""
KEGG,Up,LFC0,hsa05150,Staphylococcus aureus infection,1,FALSE,0,""
KEGG,Up,LFC0,hsa05152,Tuberculosis,1,FALSE,0,""
KEGG,Up,LFC0,hsa05160,Hepatitis C,1,FALSE,0,""
KEGG,Up,LFC0,hsa05161,Hepatitis B,1,FALSE,0,""
KEGG,Up,LFC0,hsa05162,Measles,1,FALSE,0,""
KEGG,Up,LFC0,hsa05163,Human cytomegalovirus infection,1,FALSE,0,""
KEGG,Up,LFC0,hsa05164,Influenza A,1,FALSE,0,""
KEGG,Up,LFC0,hsa05166,Human T-cell leukemia virus 1 infection,1,FALSE,0,""
KEGG,Up,LFC0,hsa05167,Kaposi sarcoma-associated herpesvirus infection,1,FALSE,0,""
KEGG,Up,LFC0,hsa05168,Herpes simplex virus 1 infection,1,FALSE,0,""
KEGG,Up,LFC0,hsa05169,Epstein-Barr virus infection,1,FALSE,0,""
KEGG,Up,LFC0,hsa05170,Human immunodeficiency virus 1 infection,1,FALSE,0,""
KEGG,Up,LFC0,hsa05171,Coronavirus disease,1,FALSE,0,""
KEGG,Up,LFC0,hsa05202,Transcriptional misregulation in cancer,1,FALSE,0,""
KEGG,Up,LFC0,hsa05204,Chemical carcinogenesis - DNA adducts,1,FALSE,0,""
KEGG,Up,LFC0,hsa05205,Proteoglycans in cancer,1,FALSE,0,""
KEGG,Up,LFC0,hsa05206,MicroRNAs in cancer,1,FALSE,0,""
KEGG,Up,LFC0,hsa05207,Chemical carcinogenesis - receptor activation,1,FALSE,0,""
KEGG,Up,LFC0,hsa05210,Colorectal cancer,1,FALSE,0,""
KEGG,Up,LFC0,hsa05211,Renal cell carcinoma,1,FALSE,0,""
KEGG,Up,LFC0,hsa05212,Pancreatic cancer,1,FALSE,0,""
KEGG,Up,LFC0,hsa05213,Endometrial cancer,1,FALSE,0,""
KEGG,Up,LFC0,hsa05214,Glioma,1,FALSE,0,""
KEGG,Up,LFC0,hsa05215,Prostate cancer,1,FALSE,0,""
KEGG,Up,LFC0,hsa05216,Thyroid cancer,1,FALSE,0,""
KEGG,Up,LFC0,hsa05217,Basal cell carcinoma,1,FALSE,0,""
KEGG,Up,LFC0,hsa05218,Melanoma,1,FALSE,0,""
KEGG,Up,LFC0,hsa05219,Bladder cancer,1,FALSE,0,""
KEGG,Up,LFC0,hsa05220,Chronic myeloid leukemia,1,FALSE,0,""
KEGG,Up,LFC0,hsa05221,Acute myeloid leukemia,1,FALSE,0,""
KEGG,Up,LFC0,hsa05222,Small cell lung cancer,1,FALSE,0,""
KEGG,Up,LFC0,hsa05223,Non-small cell lung cancer,1,FALSE,0,""
KEGG,Up,LFC0,hsa05224,Breast cancer,1,FALSE,0,""
KEGG,Up,LFC0,hsa05225,Hepatocellular carcinoma,1,FALSE,0,""
KEGG,Up,LFC0,hsa05226,Gastric cancer,1,FALSE,0,""
KEGG,Up,LFC0,hsa05231,Choline metabolism in cancer,1,FALSE,0,""
KEGG,Up,LFC0,hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,1,FALSE,0,""
KEGG,Up,LFC0,hsa05310,Asthma,1,FALSE,0,""
KEGG,Up,LFC0,hsa05320,Autoimmune thyroid disease,1,FALSE,0,""
KEGG,Up,LFC0,hsa05321,Inflammatory bowel disease,1,FALSE,0,""
KEGG,Up,LFC0,hsa05322,Systemic lupus erythematosus,1,FALSE,0,""
KEGG,Up,LFC0,hsa05323,Rheumatoid arthritis,1,FALSE,0,""
KEGG,Up,LFC0,hsa05330,Allograft rejection,1,FALSE,0,""
KEGG,Up,LFC0,hsa05332,Graft-versus-host disease,1,FALSE,0,""
KEGG,Up,LFC0,hsa05340,Primary immunodeficiency,1,FALSE,0,""
KEGG,Up,LFC0,hsa05410,Hypertrophic cardiomyopathy,1,FALSE,0,""
KEGG,Up,LFC0,hsa05412,Arrhythmogenic right ventricular cardiomyopathy,1,FALSE,0,""
KEGG,Up,LFC0,hsa05414,Dilated cardiomyopathy,1,FALSE,0,""
KEGG,Up,LFC0,hsa05416,Viral myocarditis,1,FALSE,0,""
KEGG,Up,LFC0,hsa05417,Lipid and atherosclerosis,1,FALSE,0,""
KEGG,Up,LFC0,hsa05418,Fluid shear stress and atherosclerosis,1,FALSE,0,""
Reactome,Up,LFC0,R-HSA-70326,Glucose metabolism,9.91407126458692e-23,TRUE,16,HK2/PKM/HKDC1/ENO4/PGK1/PFKM/GAPDH/ENO2/PGAM1/BPGM/PFKP/ALDOA/G6PC3/GPI/ENO1/TPI1
Reactome,Up,LFC0,R-HSA-70171,Glycolysis,6.3158401704536e-22,TRUE,15,HK2/PKM/HKDC1/ENO4/PGK1/PFKM/GAPDH/ENO2/PGAM1/BPGM/PFKP/ALDOA/GPI/ENO1/TPI1
Reactome,Up,LFC0,R-HSA-71387,Metabolism of carbohydrates and carbohydrate derivatives,9.85333158307157e-19,TRUE,19,HK2/AKR1A1/PGM1/PKM/HKDC1/ENO4/PGK1/PFKM/GAPDH/ENO2/PGAM1/BPGM/PFKP/GALM/ALDOA/G6PC3/GPI/ENO1/TPI1
Reactome,Up,LFC0,R-HSA-70263,Gluconeogenesis,4.41796481917261e-17,TRUE,10,ENO4/PGK1/GAPDH/ENO2/PGAM1/ALDOA/G6PC3/GPI/ENO1/TPI1
