PC1,PC2,PC3,PC4,PC5,gene
-0.118902998432532,-0.157956643979431,0.0180057120804603,-0.14351297920721,0.140532337263762,ACSS1
-0.143516851282556,0.0324264724250084,-0.136032023901603,-0.15739668409345,0.0552904494283218,ACSS2
0.0173441530088823,-0.134883832486552,0.124280988271261,-0.000916889557158906,-0.0469509334403176,ADH1A
-0.00968764716668199,-0.208951391724171,0.144997665786275,0.0450643050599235,-0.0307412174075568,ADH1B
-0.000763844943856745,-0.255742935466642,0.180528112658323,0.0797885814446004,0.00664881968694947,ADH1C
-0.000332174744323522,-0.235646759792231,0.120460821103863,0.0404347963336569,-0.129728576408705,ADH4
-0.189009568858761,-0.0682549772453875,-0.0229437577249776,0.0739316928049318,0.0691466536380612,ADH5
-0.0622291083035859,-0.217663104145534,-0.15521503782362,0.0588842053450247,-0.143478200910563,ADH6
0.0212273409787842,-0.049737133425608,0.134920608190436,-0.0298497140791993,0.134063629472004,ADH7
-0.135359252736581,-0.0572461612596227,0.188101860668806,-0.174911920223265,-0.0665934221713386,ADPGK
-0.161893651637482,-0.0885697411618672,-0.103345019557772,-0.099948855030336,-0.203917267851602,AKR1A1
-0.137061672792715,-0.107125390260718,-0.0959888395692166,0.222603607731826,-0.0385455623219987,ALDH1B1
-0.153994488127886,-0.00663759453459544,-0.196772167860055,-0.118203376281515,0.0590426502603468,ALDH2
-0.0703580154476665,-0.0437835585870003,-0.220134861928683,-0.144574614580459,-0.0833781008880791,ALDH3A1
-0.160829067389878,0.0143909529725193,-0.136419416653863,-0.0566350157548341,0.097452984316005,ALDH3A2
-0.0562393901679258,0.180189576842086,-0.0964862403250956,-0.164836522592727,-0.173551073479105,ALDH3B1
0.0251312739154749,-0.181707621447661,0.237584303948687,0.0242407333774615,0.0794369364290551,ALDH3B2
-0.171315948988785,-0.0772090898794854,-0.0265366343409328,0.0691081434633098,0.0545207191401311,ALDH7A1
-0.177917706307004,-0.0974346305188573,0.0292630881703706,0.146948597864655,0.0387959265390546,ALDH9A1
-0.182870953946017,0.083041296638782,0.0501713202477953,-0.00617525592725207,-0.100189083160639,ALDOA
-0.0342539774311301,-0.304518157768274,-0.0408354573635469,0.0545761640449004,-0.173098333969071,ALDOB
-0.0165180244218722,0.0152981576076639,0.198254012747963,-0.177619833241696,-0.231657633478149,ALDOC
-0.143485515735624,0.0311029430914976,0.0465428106670048,-0.15561773054351,0.216640004912663,BPGM
-0.171248053434037,-0.028165124078455,0.0183853629273378,0.106396012632201,0.247457407832473,DLAT
-0.171344333269007,0.0222038070059533,-0.0673717917316784,-0.00239931706894675,0.214094708132723,DLD
-0.188628435468965,0.0813477110972404,0.0215874102914918,-0.0338922594687362,-0.105714126939871,ENO1
-0.0832190305667177,0.186921697544388,0.181103180320459,-0.104201530649985,-0.149007993952117,ENO2
-0.0444997601215499,-0.0457633727819214,-0.025191038113243,-0.368864216667074,0.139456068003114,ENO3
-0.0874479118005455,0.10404646785297,-0.193509347941447,-0.00357283912689124,0.0634725811690833,ENO4
-0.0882959363552141,-0.17484616102836,-0.117394026938615,-0.209522839737981,-0.0173527924451927,FBP1
0.00980088771640807,-0.170345536170843,0.135937576334245,-0.0488882805388014,0.190667139238255,FBP2
-0.0127950469111352,-0.0767603952142817,0.0217920342045112,-0.0526292276906053,-0.0105507458166139,G6PC2
-0.158002095183285,0.0880541818674134,-0.00238305576942084,-0.164582349070294,-0.106247841961427,G6PC3
