community_louvain,n,n_up,n_down,genes
1,11,5,6,"ALDH2, ALDH3A1, ALDH3B1, ALDH3B2, ADH1A, ADH1B, ADH1C, ALDH3A2, ACSS2, ADH4, ADH6"
2,20,14,6,"GPI, ALDOA, ALDOB, PKM, TPI1, ENO1, ENO2, PFKP, PGAM1, ENO4, GAPDH, HK2, PGAM2, GCK, PGM1, FBP2, G6PC3, PCK1, LDHC, DLD"
