sample,condition,study,median_expr,iqr_expr,var_expr,min_expr,max_expr,pct_zero,median_z,flag_outlier
TCGA-BQ-5893-01,KIRP,TCGA,10.905,8.61,28.6588549482727,0,18.13,7.57575757575758,0.634757184139755,FALSE
TCGA-P4-A5EA-01,KIRP,TCGA,10.3,7.407,24.2927119280187,0,17.21,12.1212121212121,-1.02073454985185,FALSE
TCGA-2Z-A9J7-01,KIRP,TCGA,10.775,8.20825,27.262319232972,0,17.63,12.1212121212121,0.279031687579578,FALSE
TCGA-G7-6789-01,KIRP,TCGA,9.9635,7.9725,29.491775158042,0,18.5,13.6363636363636,-1.941516315948,FALSE
TCGA-GL-6846-01,KIRP,TCGA,10.3,6.99875,26.0384757705012,0,16.65,15.1515151515152,-1.02073454985185,FALSE
TCGA-DW-7834-01,KIRP,TCGA,10.3,7.265,25.1779747193124,0,16.47,13.6363636363636,-1.02073454985185,FALSE
TCGA-UZ-A9PM-01,KIRP,TCGA,11.1,6.91125,28.4727705006643,0,17.42,13.6363636363636,1.16834542898002,FALSE
TCGA-BQ-7044-01,KIRP,TCGA,10.745,8.22125,29.2819949570909,0,17.96,13.6363636363636,0.196941188373385,FALSE
TCGA-UZ-A9PK-01,KIRP,TCGA,10.57,6.8385,26.0639721939138,0,16.44,10.6060606060606,-0.28192005699609,FALSE
TCGA-UZ-A9Q0-01,KIRP,TCGA,10.81,6.872,26.6239846706294,0,16.84,16.6666666666667,0.374803936653468,FALSE
TCGA-5P-A9JW-01,KIRP,TCGA,10.845,7.53475,27.5886995951166,0,17.43,13.6363636363636,0.470576185727363,FALSE
TCGA-UZ-A9PL-01,KIRP,TCGA,10.42,7.325,25.040340325641,0,17.57,10.6060606060606,-0.692372553027067,FALSE
TCGA-2Z-A9J5-01,KIRP,TCGA,10.68,8.27275,29.110174132634,0,17.87,15.1515151515152,0.0190784400932915,FALSE
TCGA-P4-A5E6-01,KIRP,TCGA,10.355,6.431,25.2680842289231,0,17.55,13.6363636363636,-0.870235301307155,FALSE
TCGA-P4-A5EB-01,KIRP,TCGA,10.765,7.577,28.962851643683,0,17.45,12.1212121212121,0.25166818784418,FALSE
TCGA-UZ-A9PP-01,KIRP,TCGA,10.55,6.38725,24.5347420575874,0,17.36,9.09090909090909,-0.336647056466885,FALSE
TCGA-BQ-7046-01,KIRP,TCGA,11.205,7.082,26.7106332835431,0,16.98,12.1212121212121,1.45566217620171,FALSE
TCGA-BQ-7048-01,KIRP,TCGA,11.085,6.33925,26.971914672634,0,17.57,9.09090909090909,1.12730017937693,FALSE
TCGA-P4-A5ED-01,KIRP,TCGA,9.7215,8.1265,24.3319480914033,0,16.64,15.1515151515152,-2.60371300954464,FALSE
TCGA-2Z-A9J8-01,KIRP,TCGA,10.875,7.5495,25.509382983972,0,17.46,4.54545454545455,0.552666684933561,FALSE
TCGA-G7-6792-01,KIRP,TCGA,10.1,8.63325,29.3758982668182,0,17.24,16.6666666666667,-1.56800454455981,FALSE
TCGA-5P-A9JZ-01,KIRP,TCGA,11.28,7.151,27.4079353941725,0,16.97,10.6060606060606,1.6608884242172,FALSE
TCGA-P4-A5E7-01,KIRP,TCGA,10.0275,9.2755,29.1628577050256,0,16.78,12.1212121212121,-1.76638991764145,FALSE
TCGA-BQ-5875-01,KIRP,TCGA,11.185,8.71475,29.7551021355431,0,17.4,10.6060606060606,1.40093517673091,FALSE
TCGA-UZ-A9PR-01,KIRP,TCGA,10.52,7.00675,24.0110325349371,0,16.01,9.09090909090909,-0.418737555673083,FALSE
TCGA-HE-A5NF-01,KIRP,TCGA,11.03,7.535,28.5420802144522,0,16.96,15.1515151515152,0.97680093083224,FALSE
TCGA-HE-7129-01,KIRP,TCGA,10.675,8.88075,28.2081823139231,0,17.22,9.09090909090909,0.00539669022559501,FALSE
TCGA-DZ-6132-01,KIRP,TCGA,10.395,8.74325,26.2242756695315,0,16.63,9.09090909090909,-0.760781302365564,FALSE
TCGA-G7-A8LE-01,KIRP,TCGA,10.27,7.64025,23.1952703370816,0,15.83,7.57575757575758,-1.10282504905804,FALSE
TCGA-DZ-6131-01,KIRP,TCGA,11.08,7.792,25.224641369697,0,16.8,7.57575757575758,1.11361842950923,FALSE
TCGA-P4-AAVO-01,KIRP,TCGA,10.695,9.37425,30.7851212997669,0,17.58,15.1515151515152,0.0601236896963907,FALSE
TCGA-5P-A9K2-01,KIRP,TCGA,10.34,7.1905,26.8156887685315,0,17.26,16.6666666666667,-0.911280550910254,FALSE
TCGA-2Z-A9J1-01,KIRP,TCGA,11.155,7.23625,28.145849658042,0,17.42,12.1212121212121,1.31884467752472,FALSE
TCGA-2Z-A9J9-01,KIRP,TCGA,10.72,8.771,27.3221703888112,0,16.93,9.09090909090909,0.128532439034883,FALSE
TCGA-DZ-6135-01,KIRP,TCGA,10.86,6.5555,23.8342280495291,0,16.6,7.57575757575758,0.511621435330462,FALSE
TCGA-HE-A5NK-01,KIRP,TCGA,10.16,10.6,30.0774295312354,0,17.06,18.1818181818182,-1.40382354614742,FALSE
TCGA-5P-A9K4-01,KIRP,TCGA,10.915,6.5045,27.4530149671329,0,17.79,12.1212121212121,0.662120683875153,FALSE
TCGA-G7-6796-01,KIRP,TCGA,10.295,6.984,25.5036032578089,0,16.54,15.1515151515152,-1.03441629971955,FALSE
TCGA-UZ-A9PS-01,KIRP,TCGA,10.73,8.40775,29.0002995908182,0,17.46,9.09090909090909,0.155895938770286,FALSE
TCGA-AL-3467-01,KIRP,TCGA,9.802,9.11525,26.3829669330187,0,15.83,10.6060606060606,-2.38343683667469,FALSE
TCGA-AL-7173-01,KIRP,TCGA,10.39,7.69,25.4767706572494,0,18.45,7.57575757575758,-0.77446305223326,FALSE
TCGA-5P-A9KH-01,KIRP,TCGA,10.46,7.37725,23.413840791683,0,16.6,6.06060606060606,-0.58291855408547,FALSE
TCGA-5P-A9JV-01,KIRP,TCGA,11.19,6.794,24.4694134977739,0,17.16,6.06060606060606,1.41461692659861,FALSE
TCGA-AL-3472-01,KIRP,TCGA,10.0995,7.52125,24.0921581840559,0,16.43,13.6363636363636,-1.56937271954658,FALSE
TCGA-UZ-A9PX-01,KIRP,TCGA,10.62,7.388,23.5536964272284,0,16.71,4.54545454545455,-0.145102558319095,FALSE
TCGA-BQ-5878-01,KIRP,TCGA,10.795,7.566,27.2886698116201,0,17.48,6.06060606060606,0.333758687050374,FALSE
TCGA-5P-A9K6-01,KIRP,TCGA,10.955,6.572,24.6808697249417,0,16.83,10.6060606060606,0.771574682816749,FALSE
TCGA-UZ-A9PO-01,KIRP,TCGA,11.48,7.86325,29.3269741794592,0,17.33,13.6363636363636,2.20815841892517,FALSE
TCGA-AL-3473-01,KIRP,TCGA,11.14,8.03675,27.5122881674242,0,17.55,9.09090909090909,1.27779942792162,FALSE
TCGA-BQ-7050-01,KIRP,TCGA,11.125,7.33775,27.5856364228252,0,16.94,12.1212121212121,1.23675417831852,FALSE
TCGA-A4-7288-01,KIRP,TCGA,10.575,6.9665,26.3091587640559,0,16.43,12.1212121212121,-0.268238307128393,FALSE
TCGA-DZ-6134-01,KIRP,TCGA,11.185,7.04875,26.1042483605874,0,17.5,7.57575757575758,1.40093517673091,FALSE
TCGA-2Z-A9J2-01,KIRP,TCGA,10.66,7.40825,27.8554054920746,0,17.87,15.1515151515152,-0.0356485593775042,FALSE
TCGA-HE-7130-01,KIRP,TCGA,10.375,9.24875,27.9721678824522,0,17.1,9.09090909090909,-0.815508301836359,FALSE
TCGA-2Z-A9J6-01,KIRP,TCGA,10.83,8.25875,27.6166229335571,0,17.36,10.6060606060606,0.429530936124269,FALSE
TCGA-2Z-A9JE-01,KIRP,TCGA,10.34,8.72425,28.3845106375291,0,17.69,13.6363636363636,-0.911280550910254,FALSE
TCGA-HE-A5NJ-01,KIRP,TCGA,9.732,7.77575,25.6666925382284,0,16.91,15.1515151515152,-2.57498133482248,FALSE
TCGA-2Z-A9JG-01,KIRP,TCGA,10.785,8.23725,28.3786160608508,0,17.93,10.6060606060606,0.306395187314976,FALSE
TCGA-SX-A7SS-01,KIRP,TCGA,10.67,7.2005,24.7186609864802,0,17.28,12.1212121212121,-0.00828505964210634,FALSE
TCGA-P4-AAVK-01,KIRP,TCGA,11.265,7.1435,29.9711798529138,0,17.74,12.1212121212121,1.6198431746141,FALSE
TCGA-G7-6790-01,KIRP,TCGA,11.25,7.014,27.881417083711,0,16.84,9.09090909090909,1.578797925011,FALSE
TCGA-2Z-A9JI-01,KIRP,TCGA,10.665,6.8465,25.6573945606061,0,17.08,15.1515151515152,-0.0219668095098077,FALSE
