gene_id,standard_DEG,treat_DEG
SLC9A3,TRUE,TRUE
CTD-2247C11.5,TRUE,TRUE
SPTB,TRUE,TRUE
CYYR1,TRUE,TRUE
GALNT15,TRUE,TRUE
C2orf54,TRUE,TRUE
TMEM88,TRUE,TRUE
RHCG,TRUE,TRUE
LRRC70,TRUE,TRUE
SLC2A12,TRUE,TRUE
BAX,TRUE,TRUE
GPIHBP1,TRUE,TRUE
ST6GALNAC3,TRUE,TRUE
TSPAN7,TRUE,TRUE
LINC01544,TRUE,TRUE
APCDD1L,TRUE,TRUE
RP11-728F11.4,TRUE,TRUE
RP11-1260E13.4,TRUE,TRUE
RP11-396O20.1,TRUE,TRUE
TIMP3,TRUE,TRUE
TNFRSF10B,TRUE,TRUE
TREM2,TRUE,TRUE
RP11-554A11.4,TRUE,TRUE
RP3-333A15.1,TRUE,TRUE
GNA14,TRUE,TRUE
OVCH2,TRUE,TRUE
COL18A1-AS1,TRUE,TRUE
GPRIN1,TRUE,TRUE
TRPV5,TRUE,TRUE
VWA5B1,TRUE,TRUE
HBEGF,TRUE,TRUE
SOST,TRUE,TRUE
DNASE1L3,TRUE,TRUE
LINC01094,TRUE,TRUE
SIAH3,TRUE,TRUE
CA10,TRUE,TRUE
AQP6,TRUE,TRUE
HTR3B,TRUE,TRUE
CNGA1,TRUE,TRUE
CLIC5,TRUE,TRUE
WNK4,TRUE,TRUE
RBP2,TRUE,TRUE
APOC1,TRUE,TRUE
NFASC,TRUE,TRUE
CA8,TRUE,TRUE
CD34,TRUE,TRUE
ATP1A1,TRUE,TRUE
DDB2,TRUE,TRUE
MMRN2,TRUE,TRUE
ELF5,TRUE,TRUE
TMEM72,TRUE,TRUE
RNF150,TRUE,TRUE
LDLR,TRUE,TRUE
LINC00472,TRUE,TRUE
FAM167A-AS1,TRUE,TRUE
ESRRG,TRUE,TRUE
RP11-63A11.1,TRUE,TRUE
LRRC20,TRUE,TRUE
RP11-5P18.5,TRUE,TRUE
ZNF350-AS1,TRUE,TRUE
UMODL1,TRUE,TRUE
ADGRV1,TRUE,TRUE
FGF9,TRUE,TRUE
SOX2-OT,TRUE,TRUE
RP11-834C11.5,TRUE,TRUE
C16orf89,TRUE,TRUE
ERG,TRUE,TRUE
CEL,TRUE,TRUE
NUDT10,TRUE,TRUE
FAM184B,TRUE,TRUE
SLC9A2,TRUE,TRUE
SYT7,TRUE,TRUE
ARC,TRUE,TRUE
PART1,TRUE,TRUE
DAGLB,TRUE,TRUE
CLEC3B,TRUE,TRUE
MPPED2,TRUE,TRUE
RP11-999E24.3,TRUE,TRUE
NR2F1,TRUE,TRUE
NPSR1-AS1,TRUE,TRUE
MYCN,TRUE,TRUE
HSPA12B,TRUE,TRUE
TNS4,TRUE,TRUE
SLC5A7,TRUE,TRUE
