ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
hsa01210,2-Oxocarboxylic acid metabolism,15,-0.367849230936087,-0.979142436704772,0.512925170068027,0.669410815173527,0.252630761590745,64,"tags=80%, list=60%, signal=37%",3419/3421/3417/5160/55753/1737/4967/48/50/1743/5162/3418,0.0587185879555941
hsa04950,Maturity onset diabetes of the young,2,-0.605769230769231,-0.919437567092221,0.629370629370629,0.807692307692308,0.304817188784737,44,"tags=100%, list=42%, signal=60%",2645/5313,0.0609039347452418
hsa00770,Pantothenate and CoA biosynthesis,3,-0.514563106796117,-0.870776311253051,0.676222596964587,0.839824838165697,0.316943771536804,54,"tags=100%, list=51%, signal=50%",217/219/224,0.055826471778749
hsa00270,Cysteine and methionine metabolism,7,-0.389781377151567,-0.865441824491863,0.65527950310559,0.827156094084106,0.312162679876519,6,"tags=14%, list=6%, signal=14%",3948,0.053457214108991
hsa04934,Cushing syndrome,1,-0.60952380952381,-0.81137459908579,0.78727634194831,0.882958874290601,0.333222242319939,43,"tags=100%, list=41%, signal=60%",2271,0.0564118388217596
hsa05211,Renal cell carcinoma,1,-0.60952380952381,-0.81137459908579,0.78727634194831,0.882958874290601,0.333222242319939,43,"tags=100%, list=41%, signal=60%",2271,0.0564118388217596
hsa04911,Insulin secretion,1,-0.6,-0.798696870975074,0.803180914512923,0.882958874290601,0.333222242319939,44,"tags=100%, list=42%, signal=59%",2645,0.0554793308704233
hsa04917,Prolactin signaling pathway,1,-0.6,-0.798696870975074,0.803180914512923,0.882958874290601,0.333222242319939,44,"tags=100%, list=42%, signal=59%",2645,0.0554793308704233
hsa00480,Glutathione metabolism,4,-0.427368695672,-0.791116026760508,0.764984227129338,0.882958874290601,0.333222242319939,9,"tags=25%, list=8%, signal=24%",3418,0.0470699590082662
hsa00040,Pentose and glucuronate interconversions,3,0.436893203883495,0.784581340718812,0.750611246943765,0.882958874290601,0.333222242319939,61,"tags=100%, list=58%, signal=44%",6120/729020/10327,0.0686325631836726
hsa00630,Glyoxylate and dicarboxylate metabolism,9,-0.324772880142698,-0.754374255316897,0.769784172661871,0.882958874290601,0.333222242319939,41,"tags=44%, list=39%, signal=30%",48/50/132158/84532,0.0425877779273254
hsa04068,FoxO signaling pathway,4,-0.388673751178985,-0.71948656242902,0.861198738170347,0.882958874290601,0.333222242319939,31,"tags=50%, list=29%, signal=37%",5106/5105,0.0416556773979467
hsa04151,PI3K-Akt signaling pathway,4,-0.388673751178985,-0.71948656242902,0.861198738170347,0.882958874290601,0.333222242319939,31,"tags=50%, list=29%, signal=37%",5106/5105,0.0416556773979467
hsa04920,Adipocytokine signaling pathway,4,-0.388673751178985,-0.71948656242902,0.861198738170347,0.882958874290601,0.333222242319939,31,"tags=50%, list=29%, signal=37%",5106/5105,0.0416556773979467
hsa04931,Insulin resistance,4,-0.388673751178985,-0.71948656242902,0.861198738170347,0.882958874290601,0.333222242319939,31,"tags=50%, list=29%, signal=37%",5106/5105,0.0416556773979467
hsa00230,Purine metabolism,4,-0.387827463961084,-0.717919972765096,0.861198738170347,0.882958874290601,0.333222242319939,32,"tags=25%, list=30%, signal=18%",5634,0.0416556773979467
hsa05010,Alzheimer disease,5,-0.360222287053483,-0.699355564094211,0.842105263157895,0.882958874290601,0.333222242319939,28,"tags=60%, list=26%, signal=46%",6391/6390/6392,0.0431901998334182
hsa05415,Diabetic cardiomyopathy,8,-0.29962700352676,-0.672820633961079,0.871491875923191,0.882958874290601,0.333222242319939,28,"tags=50%, list=26%, signal=40%",6391/5162/6390/6392,0.0380842053196415
hsa04919,Thyroid hormone signaling pathway,3,-0.346852954971669,-0.586966559958065,0.964586846543002,0.964586846543002,0.364028043973871,21,"tags=33%, list=20%, signal=28%",5211,0.0395172228473919
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
