category,term,number_of_genes,number_of_genes_in_background,ncbiTaxonId,inputGenes,preferredNames,p_value,fdr,description
KEGG,hsa00020,4,29,9606,"9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000331897,9606.ENSP00000377532","PCK2,PCK1,IDH2,PC",9.71e-08,2.04e-06,Citrate cycle (TCA cycle)
KEGG,hsa00051,4,32,9606,"9606.ENSP00000226253,9606.ENSP00000363988,9606.ENSP00000364486,9606.ENSP00000408025","ALDOC,ALDOB,FBP2,FBP1",1.39e-07,2.76e-06,Fructose and mannose metabolism
KEGG,hsa04066,4,106,9606,"9606.ENSP00000226253,9606.ENSP00000280706,9606.ENSP00000363988,9606.ENSP00000437783","ALDOC,LDHAL6A,ALDOB,LDHC",1.28e-05,0.00024,HIF-1 signaling pathway
KEGG,hsa00640,3,34,9606,"9606.ENSP00000280706,9606.ENSP00000316924,9606.ENSP00000437783","LDHAL6A,ACSS1,LDHC",1.56e-05,0.00028,Propanoate metabolism
KEGG,hsa04152,4,120,9606,"9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000364486,9606.ENSP00000408025","PCK2,PCK1,FBP2,FBP1",2.05e-05,0.00034,AMPK signaling pathway
KEGG,hsa04964,2,23,9606,"9606.ENSP00000216780,9606.ENSP00000319814","PCK2,PCK1",5e-04,0.008,Proximal tubule bicarbonate reclamation
KEGG,hsa04950,2,26,9606,"9606.ENSP00000223366,9606.ENSP00000339933","GCK,PKLR",0.00063,0.0096,Maturity onset diabetes of the young
KEGG,hsa00052,2,30,9606,"9606.ENSP00000223366,9606.ENSP00000272252","GCK,GALM",0.00082,0.012,Galactose metabolism
KEGG,hsa00630,2,30,9606,"9606.ENSP00000316924,9606.ENSP00000389175","ACSS1,GLYCTK",0.00082,0.012,Glyoxylate and dicarboxylate metabolism
KEGG,hsa00260,2,38,9606,"9606.ENSP00000297283,9606.ENSP00000389175","PGAM2,GLYCTK",0.0013,0.0172,"Glycine, serine and threonine metabolism"
KEGG,hsa04930,2,46,9606,"9606.ENSP00000223366,9606.ENSP00000339933","GCK,PKLR",0.0018,0.0238,Type II diabetes mellitus
KEGG,hsa00270,2,49,9606,"9606.ENSP00000280706,9606.ENSP00000437783","LDHAL6A,LDHC",0.0021,0.0258,Cysteine and methionine metabolism
KEGG,hsa04920,2,69,9606,"9606.ENSP00000216780,9606.ENSP00000319814","PCK2,PCK1",0.004,0.0477,Adipocytokine signaling pathway
