NGenes,Correlation,Direction,PValue,FDR,pathway
64,0.0528490752352105,Down,0.242179232674739,0.43663099687347,hsa00010_Glycolysis
29,0.46406683810578,Down,0.29108733124898,0.43663099687347,hsa00020_TCA
30,0.0373652292276012,Down,0.843182500009768,0.843182500009768,hsa00030_PPP
