gene_id,logFC_Paired,CI.L_Paired,CI.R_Paired,FDR_Paired,AveExpr,logFC_TCGA_adj,FDR_TCGA_adj,logFC_GTEx,FDR_GTEx,pathway
ACLY,0.4453125,0.208030275394161,0.682594724605838,0.00102344045091181,12.80765625,0.312395833333334,0.0155254077733389,1.5663244047619,6.16743764453542e-15,hsa00020
ACO1,-0.713437500000001,-1.1120129032299,-0.314862096770098,0.00165434086700925,12.31546875,-1.16752777777778,2.75429477423749e-14,0.259338293650793,0.201999240331146,hsa00020
ACO2,-0.705,-1.05370054809617,-0.356299451903834,0.000462997423799768,13.6534375,-0.640763888888889,8.43451056283944e-06,0.894102182539683,3.85967406127931e-05,hsa00020
CS,0.2553125,0.0359878813472416,0.474637118652758,0.033205199496381,13.03296875,0.0284374999999995,0.791147732542983,0.870892857142857,2.78645683910615e-06,hsa00020
DLAT,-0.398468750000001,-0.670585122245121,-0.126352377754881,0.0086714905907671,11.186703125,-0.546211805555556,4.41943059932911e-06,0.578904265873017,0.00120919690041944,hsa00020
DLD,-0.0621562500000003,-0.328080648682006,0.203768148682006,0.676324606121836,12.510171875,-0.147600694444445,0.281733003541867,1.09079216269841,5.99636331733219e-08,hsa00020
DLST,-0.413437500000001,-0.608578058110652,-0.218296941889349,0.000265401906252513,12.76046875,-0.583923611111111,3.26968503204437e-08,0.289335317460318,0.111307286493119,hsa00020
FH,-0.506625000000001,-0.812235676705842,-0.20101432329416,0.00324942197987097,11.6385625,-0.420434027777778,0.000728017113060448,0.590298115079365,0.00180284810868038,hsa00020
IDH1,-0.387375,-0.737443152126385,-0.0373068478736149,0.041194514159542,11.467875,-0.663749999999998,2.3012014761365e-06,0.689348214285711,0.00050611777845012,hsa00020
IDH2,-1.4209375,-1.71227420235602,-1.12960079764398,1.10676334602352e-10,13.11265625,-1.64840277777778,3.57874057544146e-20,-0.432420634920636,0.0669902293174697,hsa00020
IDH3A,-0.16878125,-0.403284424423188,0.0657219244231879,0.180047093364312,11.147484375,-0.122760416666667,0.270247700866496,0.360150297619048,0.0397095730209959,hsa00020
IDH3B,0.0878125000000009,-0.177879577079545,0.353504577079547,0.542421219673949,11.77265625,0.234131944444444,0.0252467897548154,0.708239087301587,6.12370181994268e-05,hsa00020
IDH3G,-0.1828125,-0.383094924543299,0.0174699245432992,0.0912596352030332,11.41953125,-0.0489965277777775,0.652664395574151,0.584440972222222,0.000556707775420607,hsa00020
MDH1,-0.3359375,-0.619045776797404,-0.0528292232025955,0.0306601872061898,12.86203125,-0.328819444444445,0.00851654441073918,0.669751984126984,0.000757007447355565,hsa00020
MDH2,0.119375000000001,-0.0934180770595174,0.332168077059518,0.289788816434849,13.15,0.0721875000000007,0.551359530883094,0.911071428571427,2.5505678746508e-06,hsa00020
OGDH,-0.483437500000002,-0.769028769444956,-0.197846230555047,0.00276524975157257,13.68046875,-0.712881944444444,2.84697378638965e-08,0.706448412698412,0.000541631974633964,hsa00020
OGDHL,-0.960843749999999,-1.68371071077148,-0.237976789228515,0.01590991294176,13.575515625,-0.853357638888888,0.0110927293787629,0.734937003968253,0.0585276592629712,hsa00020
PC,-1.39190625,-1.97186513316051,-0.811947366839495,5.59710756775364e-05,11.045234375,-1.57342708333333,2.06297603407642e-13,-0.330596726190477,0.188715525252677,hsa00020
PCK1,-5.11184375,-6.23622103296659,-3.98746646703341,7.04509399671596e-10,11.986015625,-4.77198263888889,1.76660357892638e-18,-3.27097371031746,2.52477633931483e-08,hsa00020
PCK2,-1.69303125,-2.36483121393009,-1.02123128606991,2.87499183126698e-05,11.824546875,-2.00799652777778,4.90889672124424e-19,-0.170576884920635,0.497939283163496,hsa00020
PDHA1,-0.3425,-0.610329148828671,-0.0746708511713281,0.0201658664594039,12.53125,-0.181666666666667,0.145189593509256,0.74797619047619,0.000131046432100311,hsa00020
PDHB,-0.602499999999999,-0.799333470377658,-0.40566652962234,1.49894448486955e-06,11.509375,-0.443510416666666,2.04582402350194e-06,0.562114583333332,0.000683108739556746,hsa00020
SDHA,-0.276874999999998,-0.57769195497617,0.0239419549761738,0.0894887949176294,13.31,-0.237986111111111,0.0764356221138341,0.991165674603175,1.91620596278167e-06,hsa00020
SDHB,-0.828093750000001,-1.0984070681278,-0.5577804318722,1.49894448486955e-06,11.784703125,-0.777600694444443,3.62001689036128e-11,0.0675421626984123,0.720789651834151,hsa00020
SDHC,-0.531562500000001,-0.741323487993014,-0.321801512006987,2.84145056382879e-05,12.86328125,-0.565520833333332,1.40244472769888e-09,0.404613095238095,0.0251017084627319,hsa00020
SDHD,-0.933812499999999,-1.2171403391429,-0.650484660857102,4.94140195925399e-07,12.49028125,-1.00787847222222,3.14096839852397e-16,0.12073759920635,0.535914410220756,hsa00020
SUCLA2,-0.770968750000001,-1.05310098209002,-0.488836517909977,9.34192559603154e-06,11.027953125,-0.841381944444446,1.68973982132103e-09,0.327948412698414,0.0876559952824431,hsa00020
SUCLG1,-0.977499999999999,-1.34911918138688,-0.605880818613122,1.65806445184815e-05,12.829375,-0.913194444444445,1.95776480710147e-10,-0.052569444444444,0.800370488238806,hsa00020
SUCLG2,-0.89753125,-1.2437417811422,-0.551320718857797,2.03848630734654e-05,12.037796875,-0.913989583333334,1.19975550730947e-10,0.34293005952381,0.0895150557669902,hsa00020
