pathway_id,gene_symbol
hsa00010,ACSS1
hsa00010,ACSS2
hsa00010,ADH1A
hsa00010,ADH1B
hsa00010,ADH1C
hsa00010,ADH4
hsa00010,ADH5
hsa00010,ADH6
hsa00010,ADH7
hsa00010,ADPGK
hsa00010,AKR1A1
hsa00010,ALDH1B1
hsa00010,ALDH2
hsa00010,ALDH3A1
hsa00010,ALDH3A2
hsa00010,ALDH3B1
hsa00010,ALDH3B2
hsa00010,ALDH7A1
hsa00010,ALDH9A1
hsa00010,ALDOA
hsa00010,ALDOB
hsa00010,ALDOC
hsa00010,BPGM
hsa00010,DLAT
hsa00010,DLD
hsa00010,ENO1
hsa00010,ENO2
hsa00010,ENO3
hsa00010,ENO4
hsa00010,FBP1
hsa00010,FBP2
hsa00010,G6PC1
hsa00010,G6PC2
hsa00010,G6PC3
hsa00010,GALM
hsa00010,GAPDH
hsa00010,GAPDHS
hsa00010,GCK
hsa00010,GPI
hsa00010,HK1
hsa00010,HK2
hsa00010,HK3
hsa00010,HKDC1
hsa00010,LDHA
hsa00010,LDHAL6A
hsa00010,LDHAL6B
hsa00010,LDHB
hsa00010,LDHC
hsa00010,MINPP1
hsa00010,PCK1
hsa00010,PCK2
hsa00010,PDHA1
hsa00010,PDHA2
hsa00010,PDHB
hsa00010,PFKL
hsa00010,PFKM
hsa00010,PFKP
hsa00010,PGAM1
hsa00010,PGAM2
hsa00010,PGAM4
hsa00010,PGK1
hsa00010,PGK2
hsa00010,PGM1
hsa00010,PGM2
hsa00010,PKLR
hsa00010,PKM
hsa00010,TPI1
