gene_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulation,dataset,color
ADH1C,-6.53730300387597,5.11004364508393,-33.5208523929595,1.20450657080201e-120,7.94974336729328e-119,264.976347563939,Down,TCGA-only,Down
HK2,3.02083430232558,9.76312230215827,26.1543182537363,4.26516677204597e-90,1.40750503477517e-88,194.641595066313,Up,TCGA-only,Up
ALDH3B2,-4.76871416343669,2.54437553956835,-25.5145115146992,2.52473817257845e-87,5.55442397967258e-86,188.259597920276,Down,TCGA-only,Down
PGAM2,-4.49539257105943,4.79899712230216,-23.7140078471362,1.91347088432038e-79,3.15722695912862e-78,170.12177425435,Down,TCGA-only,Down
ALDOB,-7.9972743863049,9.39647002398081,-23.2676995227334,1.86151242371061e-77,2.45719639929801e-76,165.546455851713,Down,TCGA-only,Down
ADH1B,-5.61262361111111,8.08332230215827,-22.7185466219305,4.77557182038216e-75,5.25312900242038e-74,160.001316521103,Down,TCGA-only,Down
ADH4,-2.91894773901809,1.87924772182254,-21.666771659131,2.22504504096081e-70,2.09789961004876e-69,149.258224242404,Down,TCGA-only,Down
GAPDH,1.14030200258398,16.7839808153477,19.8703210523536,2.2216911988964e-62,1.83289523908953e-61,130.853619061716,Up,TCGA-only,Up
ALDH9A1,-1.06566812015503,12.0231462829736,-17.3301183599509,4.05443245672695e-51,2.97325046826643e-50,104.956648489782,Down,TCGA-only,Down
ENO2,2.00373570736434,10.5500455635492,17.023015956571,9.04937712067184e-50,5.97258889964342e-49,101.85644557582,Up,TCGA-only,Up
ADH1A,-1.87405445736434,1.22205179856115,-16.7945851203032,9.05878653602396e-49,5.43527192161438e-48,99.5569502171622,Down,TCGA-only,Down
FBP2,-1.54281228197674,0.997788489208633,-15.5216019187265,3.01674298970298e-43,1.65920864433664e-42,86.8676528954849,Down,TCGA-only,Down
PCK1,-4.15913041020669,11.0565923261391,-15.0923674015846,2.10477605679773e-41,1.06857861345116e-40,82.6332732276946,Down,TCGA-only,Down
ALDOA,1.03026808785529,15.8736450839329,14.9612448368366,7.50875845360532e-41,3.53984327098537e-40,81.3645197879983,Up,TCGA-only,Up
ALDH3B1,1.77259132751938,11.0772589928058,14.9436510790812,8.92051778338448e-41,3.92502782468917e-40,81.1926972889971,Up,TCGA-only,Up
FBP1,-2.09986296834622,10.9820527577938,-14.8096673783486,3.3061819119045e-40,1.3638000386606e-39,79.8862354696269,Down,TCGA-only,Down
ADH5,-0.805310077519373,12.4841247002398,-14.7194097530356,7.97464761663934e-40,3.09603966293057e-39,79.0082127855292,NS,TCGA-only,NS
G6PC3,0.673319605943176,11.868824940048,13.4158076560258,2.16592192872259e-34,7.94171373864949e-34,66.5364427557532,NS,TCGA-only,NS
HK3,1.92920381136952,6.20904316546763,13.1752312767199,2.07958173360062e-33,7.22381023250741e-33,64.2830792950845,Up,TCGA-only,Up
ALDH7A1,-0.94026203165375,11.7426258992806,-12.850177265285,4.30278597997095e-32,1.41991937339041e-31,61.2655440517116,NS,TCGA-only,NS
PFKP,0.95207122093024,12.7159952038369,12.4506625066835,1.70474285417255e-30,5.35776325597087e-30,57.6021539336895,NS,TCGA-only,NS
LDHC,-2.41088059593023,2.828148441247,-11.8036451299905,5.8942639358473e-28,1.76827918075419e-27,51.7847570429498,Down,TCGA-only,Down
DLAT,-0.6669409722222,11.0460455635492,-11.2553733951373,7.40695165247354e-26,2.12547308288371e-25,46.9778515272722,NS,TCGA-only,NS
PDHB,-0.511645106589144,11.5253932853717,-10.8329235073038,2.82798389718474e-24,7.77695571725803e-24,43.3579603703391,NS,TCGA-only,NS
PGM2,-0.672023901808785,9.50369784172662,-10.6966696589175,9.00873081329499e-24,2.37830493470988e-23,42.2069288153343,NS,TCGA-only,NS
PCK2,-1.43056193475452,11.1056139088729,-10.3635572460469,1.47841550395223e-22,3.75290089464798e-22,39.4283518510226,Down,TCGA-only,Down
ACSS1,-0.916398013565884,11.5098129496403,-10.2160556853632,5.02133989025925e-22,1.22743863984115e-21,38.2145761106534,NS,TCGA-only,NS
PKM,0.663363210594339,15.9608633093525,10.1664077017817,7.56069641805112e-22,1.78216415568348e-21,37.8083753851022,NS,TCGA-only,NS
MINPP1,-0.519794815891469,9.4742685851319,-9.75075092300722,2.22007514996544e-20,5.05258482405928e-20,34.4553863721532,NS,TCGA-only,NS
