Var1,Var2,Freq
"",Normal Tissue,0
GTEX Kidney,Normal Tissue,28
TCGA Kidney Papillary Cell Carcinoma,Normal Tissue,0
"",Primary Tumor,0
GTEX Kidney,Primary Tumor,0
TCGA Kidney Papillary Cell Carcinoma,Primary Tumor,288
"",Solid Tissue Normal,129
GTEX Kidney,Solid Tissue Normal,0
TCGA Kidney Papillary Cell Carcinoma,Solid Tissue Normal,0
