logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_id,regulation,pathway
-7.68149484126983,7.6030332278481,-12.4476101827605,2.99629780213019e-29,9.2885231866036e-28,55.5819930269052,ALDOB,Down,hsa00030
1.79354712301588,12.8518787974684,9.57431643231845,3.00736334281398e-19,4.66141318136166e-18,32.7604358060314,PFKP,Up,hsa00030
1.75965868055556,16.036489556962,8.22465300626318,5.04754627003981e-15,5.21579781237448e-14,23.1556369841023,ALDOA,Up,hsa00030
-0.910752083333333,0.41669746835443,-7.41671307685949,1.09766535162483e-12,8.50690647509246e-12,17.8592250846585,TKTL2,NS,hsa00030
0.887934027777781,10.4988063291139,6.50506990491661,3.00973746277771e-10,1.86603722692218e-09,12.3557511700019,RPE,NS,hsa00030
1.07585282738096,10.8634348101266,6.46163891512498,3.88148359024025e-10,1.87243618940768e-09,12.1070688471729,DERA,Up,hsa00030
1.42274851190477,13.3831357594937,6.44698750715669,4.22808171801733e-10,1.87243618940768e-09,12.0234643130884,TKT,Up,hsa00030
1.19546825396827,14.1953335443038,6.29286812452251,1.03074561141065e-09,3.99413924421625e-09,11.1529055637183,GPI,Up,hsa00030
1.12823854166668,11.7657680379747,6.22344865745755,1.53188205262966e-09,5.27648262572438e-09,10.7661326456511,PGM1,Up,hsa00030
1.43883978174605,11.2791155063291,6.11713165585393,2.79269462941897e-09,8.29260942739857e-09,10.1803075106087,G6PD,Up,hsa00030
1.3469697420635,12.726082278481,6.10781353490448,2.94253882907691e-09,8.29260942739857e-09,10.1293419227965,TALDO1,Up,hsa00030
-1.07981066468254,0.616190189873418,-6.00209637721262,5.30200849571896e-09,1.36968552806073e-08,9.55543239986223,FBP2,Down,hsa00030
0.973719543650809,11.2146620253165,5.61546835805692,4.27444071724557e-08,1.01928970949702e-07,7.52528409520926,PGLS,NS,hsa00030
0.89299439484129,11.7707825949367,5.15809164356746,4.39536180243875e-07,9.73258684825723e-07,5.26781715306254,PGD,NS,hsa00030
0.920524057539694,11.7507050632911,5.10570931092116,5.68368320678606e-07,1.17462786273579e-06,5.01955256949657,H6PD,NS,hsa00030
0.934944097222219,11.8544759493671,4.83948849147384,2.03277029086469e-06,3.93849243855034e-06,3.79127311723138,PFKM,NS,hsa00030
0.762146428571439,10.1092430379747,4.43037023650643,1.29556471062314e-05,2.36250035466572e-05,2.0151431117655,PRPS2,NS,hsa00030
-0.752032390873012,7.75205696202532,-4.09518047525438,5.35368129205408e-05,9.22022889187092e-05,0.66373848101708,IDNK,NS,hsa00030
-0.485228670634912,13.1558734177215,-4.03675798757596,6.79312537940177e-05,0.00011083520355866,0.437903986202531,PFKL,NS,hsa00030
0.360686408730166,10.1225411392405,3.49818875096098,0.000535033388212682,0.000829301751729657,-1.50431900729373,PRPS1,NS,hsa00030
-1.00082073412698,2.12790601265823,-3.4004626335214,0.000758432174440478,0.00111959035274547,-1.82938550217818,TKTL1,Down,hsa00030
-0.190585912698413,0.0565193037974684,-3.20969638772727,0.00146409640880425,0.00206304493967871,-2.43893251529372,PRPS1L1,NS,hsa00030
0.575550248015871,9.58060569620253,3.15282433546106,0.00177100595309198,0.00238700802373266,-2.61436714072168,RBKS,NS,hsa00030
0.339316220238098,8.71275379746835,2.58546379814033,0.0101686023178242,0.0131344446605229,-4.20094305596231,RPIA,NS,hsa00030
-0.600443799603173,9.45497436708861,-2.34670517697063,0.0195529688495038,0.0242456813733847,-4.77878061621135,GLYCTK,NS,hsa00030
-0.882639632936506,7.6309582278481,-2.2550463913704,0.024809515521557,0.0295805761987795,-4.98625359746038,ALDOC,NS,hsa00030
-0.66042142857143,10.3908433544304,-2.23294681546784,0.0262473833304593,0.0301358845646014,-5.03507959524604,FBP1,NS,hsa00030
0.337126686507952,9.77509398734177,2.05224381367511,0.0409634979668054,0.0448001084961313,-5.41679483744532,SHPK,NS,hsa00030
-0.716646577380951,9.14131803797468,-2.04265845519252,0.0419097789157357,0.0448001084961313,-5.43616819020392,RGN,NS,hsa00030
0.143300446428571,0.869599367088608,0.910147751855654,0.36343326636954,0.375547708581858,-7.09546839895294,RPEL1,NS,hsa00030
0.093671081349207,9.2875746835443,0.560131312515197,0.575783860739714,0.575783860739714,-7.35236572054025,PGM2,NS,hsa00030
