gene_symbol,regulation,degree
PFKL,Down,20
PRPS1,Down,12
RPE,Down,20
GPI,Down,24
RPIA,Down,23
ALDOA,Down,21
PGD,Down,19
H6PD,Down,25
PGM2,Down,22
PGLS,Down,19
PGM1,Down,17
DERA,Down,12
PFKM,Down,20
PFKP,Down,19
PRPS2,Down,9
IDNK,Down,9
TKT,Down,24
RBKS,Down,17
TALDO1,Down,25
GLYCTK,Down,5
FBP1,Down,18
G6PD,Down,24
ALDOB,Down,20
RGN,Down,5
ALDOC,Down,18
TKTL2,Down,23
FBP2,Down,17
TKTL1,Down,23
